Hostname,Alias,IP
allstar.leb.memhamwan.net,eth0.allstar.leb.memhamwan.net,44.34.128.166
allstar-dmr.leb.memhamwan.net,eth0.allstar-dmr.leb.memhamwan.net,44.34.128.185
dmr.leb.memhamwan.net,eth0.dmr.leb.memhamwan.net,44.34.128.186
dstar.leb.memhamwan.net,eth0.dstar.leb.memhamwan.net,44.34.128.167
esxi1.leb.memhamwan.net,eth0.esxi1.leb.memhamwan.net,44.34.128.164
nas1.leb.memhamwan.net,eth0.nas1.leb.memhamwan.net,44.34.128.188
,eth1.nas1.leb.memhamwan.net,44.34.128.189
,ilo.nas1.leb.memhamwan.net,44.34.128.190
ns1.leb.memhamwan.net,eth0.ns1.leb.memhamwan.net,44.34.128.165
nvr.leb.memhamwan.net,eth0.nvr.leb.memhamwan.net,44.34.128.179
omn1.leb.memhamwan.net,ether1.omn1.leb.memhamwan.net,44.34.128.183
,wlan1.omn1.leb.memhamwan.net,44.34.128.209
ptpazo.leb.memhamwan.net,ether1.ptpazo.leb.memhamwan.net,44.34.128.184
,wlan1.ptpazo.leb.memhamwan.net,44.34.131.142
ptpcrw.leb.memhamwan.net,ether1.ptpcrw.leb.memhamwan.net,44.34.128.168
,wlan1.ptpcrw.leb.memhamwan.net,44.34.131.145
ptphil.leb.memhamwan.net,ether1.ptphil.leb.memhamwan.net,44.34.128.182
,wlan1.ptphil.leb.memhamwan.net,44.34.131.130
ptpmno.leb.memhamwan.net,ether1.ptpmno.leb.memhamwan.net,44.34.128.187
,wlan1.ptpmno.leb.memhamwan.net,44.34.131.141
ptpsco.leb.memhamwan.net,ether1.ptpsco.leb.memhamwan.net,44.34.128.163
,wlan0.ptpsco.leb.memhamwan.net,44.34.131.132
r1.leb.memhamwan.net,ether1.r1.leb.memhamwan.net,44.34.128.161
,sstp1.r1.leb.memhamwan.net,44.34.130.8
stream.leb.memhamwan.net,eth0.stream.leb.memhamwan.net,44.34.128.178
voip.leb.memhamwan.net,eth0.voip.leb.memhamwan.net,44.34.128.173
vrrp.leb.memhamwan.net,vrrp.vrrp.leb.memhamwan.net,44.34.128.174
